time,symbol,event,magic,ticket,side,volume,price,sl,tp,profit,reason,extra_json
2026-05-05T09:11:16Z,XAUUSD,OPEN,20260501,,BUY,0.03,4558.08,4557.08,4558.68,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T09:11:17Z,XAUUSD,OPEN,20260501,,BUY,0.03,4558.1,4557.1,4558.7,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T09:11:23Z,XAUUSD,CLOSE,20260501,,SELL,0.03,4558.07,0.0,0.0,-0.09,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-05T09:22:27Z,XAUUSD,OPEN,20260501,,SELL,0.03,4554.95,4555.95,4554.35,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T09:22:46Z,XAUUSD,CLOSE,20260501,,BUY,0.03,4555.95,0.0,0.0,-3.0,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-05T09:30:47Z,XAUUSD,OPEN,20260501,,SELL,0.03,4554.44,4555.44,4553.84,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T09:30:47Z,XAUUSD,OPEN,20260501,,SELL,0.03,4554.97,4555.97,4554.37,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T09:30:48Z,XAUUSD,CLOSE,20260501,,BUY,0.03,4554.35,0.0,0.0,0.66,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-05T09:30:51Z,XAUUSD,CLOSE,20260501,,BUY,0.03,4555.07,0.0,0.0,-0.3,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-05T10:02:15Z,XAUUSD,OPEN,20260501,,BUY,0.03,4555.61,4554.61,4556.21,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
