time,symbol,transport,signal,confidence,sl_points,tp_points,reason,raw_features_json,raw_response_json

#test
2026-04-30T12:52:59,XAUUSD,file,BUY,0.8217428571428572,147,205,"dummy_rule_ai: BUY (trend=1.00, adx=19.9, rsi=56.5, spread=15)","{""type"": ""features"", ""symbol"": ""XAUUSD"", ""time"": ""2026-04-30T12:52:59"", ""features"": {""symbol"": ""XAUUSD"", ""bid"": 4633.03, ""ask"": 4633.18, ""spread_points"": 15, ""balance"": 91.36, ""equity"": 91.36, ""free_margin"": 91.36, ""m1_ohlcv"": [[4631.87, 4632.08, 4629.6, 4630.04, 609], [4630.04, 4630.13, 4627.55, 4627.67, 638], [4627.68, 4628.94, 4626.53, 4627.61, 545], [4627.61, 4630.4, 4627.53, 4629.94, 498], [4629.94, 4631.93, 4628.19, 4631.16, 585], [4631.21, 4633.7, 4631.1, 4632.76, 427], [4632.73, 4633.18, 4631.34, 4631.67, 453], [4631.67, 4631.8, 4629.32, 4629.87, 427], [4629.87, 4629.87, 4627.91, 4628.39, 495], [4628.39, 4631.01, 4628.39, 4629.26, 540], [4629.26, 4629.76, 4627.77, 4628.7, 395], [4628.69, 4628.94, 4625.58, 4625.81, 611], [4625.81, 4628.49, 4624.56, 4628.44, 516], [4628.44, 4631.27, 4628.44, 4631.21, 412], [4631.23, 4631.24, 4629.35, 4630.17, 566], [4630.17, 4631.53, 4628.72, 4628.96, 416], [4628.98, 4628.98, 4626.06, 4626.84, 628], [4626.84, 4627.6, 4625.84, 4626.12, 568], [4626.12, 4630.53, 4625.88, 4630.51, 405], [4630.51, 4634.66, 4629.55, 4633.03, 418]], ""m1_ema9"": 4630.3041, ""m1_ema21"": 4630.102276, ""m1_ema50"": 4630.894395, ""m1_rsi14"": 56.48, ""m1_atr14"": 2.736429, ""m1_adx14"": 19.86, ""m1_plusdi"": 24.75, ""m1_minusdi"": 19.94, ""m5_ema20"": 4631.239125, ""m5_ema50"": 4625.462267, ""m5_rsi14"": 52.46, ""m5_atr14"": 6.977857, ""m5_adx14"": 19.18, ""m5_plusdi"": 11.09, ""m5_minusdi"": 12.68, ""hour_gmt"": 12, ""open_ea_trades"": 0, ""trades_today"": 0}}","{""signal"": ""BUY"", ""confidence"": 0.8217428571428572, ""sl_points"": 147, ""tp_points"": 205, ""reason"": ""dummy_rule_ai: BUY (trend=1.00, adx=19.9, rsi=56.5, spread=15)""}"
2026-04-30T12:53:59,XAUUSD,file,BUY,0.8142142857142858,147,205,"dummy_rule_ai: BUY (trend=1.00, adx=18.6, rsi=56.2, spread=17)","{""type"": ""features"", ""symbol"": ""XAUUSD"", ""time"": ""2026-04-30T12:53:59"", ""features"": {""symbol"": ""XAUUSD"", ""bid"": 4632.9, ""ask"": 4633.07, ""spread_points"": 17, ""balance"": 91.36, ""equity"": 91.36, ""free_margin"": 91.36, ""m1_ohlcv"": [[4630.04, 4630.13, 4627.55, 4627.67, 638], [4627.68, 4628.94, 4626.53, 4627.61, 545], [4627.61, 4630.4, 4627.53, 4629.94, 498], [4629.94, 4631.93, 4628.19, 4631.16, 585], [4631.21, 4633.7, 4631.1, 4632.76, 427], [4632.73, 4633.18, 4631.34, 4631.67, 453], [4631.67, 4631.8, 4629.32, 4629.87, 427], [4629.87, 4629.87, 4627.91, 4628.39, 495], [4628.39, 4631.01, 4628.39, 4629.26, 540], [4629.26, 4629.76, 4627.77, 4628.7, 395], [4628.69, 4628.94, 4625.58, 4625.81, 611], [4625.81, 4628.49, 4624.56, 4628.44, 516], [4628.44, 4631.27, 4628.44, 4631.21, 412], [4631.23, 4631.24, 4629.35, 4630.17, 566], [4630.17, 4631.53, 4628.72, 4628.96, 416], [4628.98, 4628.98, 4626.06, 4626.84, 628], [4626.84, 4627.6, 4625.84, 4626.12, 568], [4626.12, 4630.53, 4625.88, 4630.51, 405], [4630.51, 4634.66, 4629.55, 4633.03, 418], [4633.03, 4634.59, 4632.59, 4632.9, 550]], ""m1_ema9"": 4630.80248, ""m1_ema21"": 4630.345871, ""m1_ema50"": 4630.968148, ""m1_rsi14"": 56.16, ""m1_atr14"": 2.702143, ""m1_adx14"": 18.65, ""m1_plusdi"": 21.45, ""m1_minusdi"": 17.28, ""m5_ema20"": 4631.226744, ""m5_ema50"": 4625.457169, ""m5_rsi14"": 52.33, ""m5_atr14"": 6.977857, ""m5_adx14"": 19.18, ""m5_plusdi"": 11.09, ""m5_minusdi"": 12.68, ""hour_gmt"": 12, ""open_ea_trades"": 0, ""trades_today"": 0}}","{""signal"": ""BUY"", ""confidence"": 0.8142142857142858, ""sl_points"": 147, ""tp_points"": 205, ""reason"": ""dummy_rule_ai: BUY (trend=1.00, adx=18.6, rsi=56.2, spread=17)""}"
2026-04-30T12:54:59,XAUUSD,file,BUY,0.7678714285714288,147,205,"dummy_rule_ai: BUY (trend=1.00, adx=20.0, rsi=60.4, spread=16)","{""type"": ""features"", ""symbol"": ""XAUUSD"", ""time"": ""2026-04-30T12:54:59"", ""features"": {""symbol"": ""XAUUSD"", ""bid"": 4635.19, ""ask"": 4635.35, ""spread_points"": 16, ""balance"": 91.36, ""equity"": 91.36, ""free_margin"": 91.36, ""m1_ohlcv"": [[4627.68, 4628.94, 4626.53, 4627.61, 545], [4627.61, 4630.4, 4627.53, 4629.94, 498], [4629.94, 4631.93, 4628.19, 4631.16, 585], [4631.21, 4633.7, 4631.1, 4632.76, 427], [4632.73, 4633.18, 4631.34, 4631.67, 453], [4631.67, 4631.8, 4629.32, 4629.87, 427], [4629.87, 4629.87, 4627.91, 4628.39, 495], [4628.39, 4631.01, 4628.39, 4629.26, 540], [4629.26, 4629.76, 4627.77, 4628.7, 395], [4628.69, 4628.94, 4625.58, 4625.81, 611], [4625.81, 4628.49, 4624.56, 4628.44, 516], [4628.44, 4631.27, 4628.44, 4631.21, 412], [4631.23, 4631.24, 4629.35, 4630.17, 566], [4630.17, 4631.53, 4628.72, 4628.96, 416], [4628.98, 4628.98, 4626.06, 4626.84, 628], [4626.84, 4627.6, 4625.84, 4626.12, 568], [4626.12, 4630.53, 4625.88, 4630.51, 405], [4630.51, 4634.66, 4629.55, 4633.03, 418], [4633.03, 4634.59, 4632.59, 4632.9, 550], [4632.9, 4635.53, 4632.9, 4635.19, 439]], ""m1_ema9"": 4632.046384, ""m1_ema21"": 4630.975503, ""m1_ema50"": 4631.219993, ""m1_rsi14"": 60.37, ""m1_atr14"": 2.75, ""m1_adx14"": 20.03, ""m1_plusdi"": 22.72, ""m1_minusdi"": 14.98, ""m5_ema20"": 4631.801521, ""m5_ema50"": 4625.925131, ""m5_rsi14"": 54.47, ""m5_atr14"": 6.57, ""m5_adx14"": 16.68, ""m5_plusdi"": 10.28, ""m5_minusdi"": 10.99, ""hour_gmt"": 12, ""open_ea_trades"": 0, ""trades_today"": 0}}","{""signal"": ""BUY"", ""confidence"": 0.7678714285714288, ""sl_points"": 147, ""tp_points"": 205, ""reason"": ""dummy_rule_ai: BUY (trend=1.00, adx=20.0, rsi=60.4, spread=16)""}"
2026-04-30T12:55:59,XAUUSD,file,BUY,0.8256285714285715,147,205,"dummy_rule_ai: BUY (trend=1.00, adx=19.9, rsi=55.8, spread=17)","{""type"": ""features"", ""symbol"": ""XAUUSD"", ""time"": ""2026-04-30T12:55:59"", ""features"": {""symbol"": ""XAUUSD"", ""bid"": 4633.36, ""ask"": 4633.53, ""spread_points"": 17, ""balance"": 91.36, ""equity"": 91.36, ""free_margin"": 91.36, ""m1_ohlcv"": [[4627.61, 4630.4, 4627.53, 4629.94, 498], [4629.94, 4631.93, 4628.19, 4631.16, 585], [4631.21, 4633.7, 4631.1, 4632.76, 427], [4632.73, 4633.18, 4631.34, 4631.67, 453], [4631.67, 4631.8, 4629.32, 4629.87, 427], [4629.87, 4629.87, 4627.91, 4628.39, 495], [4628.39, 4631.01, 4628.39, 4629.26, 540], [4629.26, 4629.76, 4627.77, 4628.7, 395], [4628.69, 4628.94, 4625.58, 4625.81, 611], [4625.81, 4628.49, 4624.56, 4628.44, 516], [4628.44, 4631.27, 4628.44, 4631.21, 412], [4631.23, 4631.24, 4629.35, 4630.17, 566], [4630.17, 4631.53, 4628.72, 4628.96, 416], [4628.98, 4628.98, 4626.06, 4626.84, 628], [4626.84, 4627.6, 4625.84, 4626.12, 568], [4626.12, 4630.53, 4625.88, 4630.51, 405], [4630.51, 4634.66, 4629.55, 4633.03, 418], [4633.03, 4634.59, 4632.59, 4632.9, 550], [4632.9, 4635.53, 4632.9, 4635.19, 439], [4635.19, 4635.19, 4632.86, 4633.34, 411]], ""m1_ema9"": 4632.013107, ""m1_ema21"": 4631.039382, ""m1_ema50"": 4631.234211, ""m1_rsi14"": 55.75, ""m1_atr14"": 2.730714, ""m1_adx14"": 19.92, ""m1_plusdi"": 19.69, ""m1_minusdi"": 13.18, ""m5_ema20"": 4631.627235, ""m5_ema50"": 4625.853366, ""m5_rsi14"": 52.45, ""m5_atr14"": 6.736429, ""m5_adx14"": 16.68, ""m5_plusdi"": 10.28, ""m5_minusdi"": 10.99, ""hour_gmt"": 12, ""open_ea_trades"": 0, ""trades_today"": 0}}","{""signal"": ""BUY"", ""confidence"": 0.8256285714285715, ""sl_points"": 147, ""tp_points"": 205, ""reason"": ""dummy_rule_ai: BUY (trend=1.00, adx=19.9, rsi=55.8, spread=17)""}"
2026-04-30T12:56:59,XAUUSD,file,BUY,0.7770571428571429,148,207,"dummy_rule_ai: BUY (trend=1.00, adx=23.2, rsi=61.6, spread=31)","{""type"": ""features"", ""symbol"": ""XAUUSD"", ""time"": ""2026-04-30T12:56:59"", ""features"": {""symbol"": ""XAUUSD"", ""bid"": 4636.76, ""ask"": 4637.07, ""spread_points"": 31, ""balance"": 91.36, ""equity"": 91.36, ""free_margin"": 91.36, ""m1_ohlcv"": [[4629.94, 4631.93, 4628.19, 4631.16, 585], [4631.21, 4633.7, 4631.1, 4632.76, 427], [4632.73, 4633.18, 4631.34, 4631.67, 453], [4631.67, 4631.8, 4629.32, 4629.87, 427], [4629.87, 4629.87, 4627.91, 4628.39, 495], [4628.39, 4631.01, 4628.39, 4629.26, 540], [4629.26, 4629.76, 4627.77, 4628.7, 395], [4628.69, 4628.94, 4625.58, 4625.81, 611], [4625.81, 4628.49, 4624.56, 4628.44, 516], [4628.44, 4631.27, 4628.44, 4631.21, 412], [4631.23, 4631.24, 4629.35, 4630.17, 566], [4630.17, 4631.53, 4628.72, 4628.96, 416], [4628.98, 4628.98, 4626.06, 4626.84, 628], [4626.84, 4627.6, 4625.84, 4626.12, 568], [4626.12, 4630.53, 4625.88, 4630.51, 405], [4630.51, 4634.66, 4629.55, 4633.03, 418], [4633.03, 4634.59, 4632.59, 4632.9, 550], [4632.9, 4635.53, 4632.9, 4635.19, 439], [4635.19, 4635.19, 4632.86, 4633.34, 411], [4633.36, 4637.11, 4633.21, 4636.73, 461]], ""m1_ema9"": 4633.501686, ""m1_ema21"": 4631.837951, ""m1_ema50"": 4631.577883, ""m1_rsi14"": 61.61, ""m1_atr14"": 2.867857, ""m1_adx14"": 23.22, ""m1_plusdi"": 22.75, ""m1_minusdi"": 11.42, ""m5_ema20"": 4631.951045, ""m5_ema50"": 4625.9867, ""m5_rsi14"": 55.93, ""m5_atr14"": 6.873571, ""m5_adx14"": 18.39, ""m5_plusdi"": 15.23, ""m5_minusdi"": 10.99, ""hour_gmt"": 12, ""open_ea_trades"": 0, ""trades_today"": 0}}","{""signal"": ""BUY"", ""confidence"": 0.7770571428571429, ""sl_points"": 148, ""tp_points"": 207, ""reason"": ""dummy_rule_ai: BUY (trend=1.00, adx=23.2, rsi=61.6, spread=31)""}"
2026-04-30T12:57:59,XAUUSD,file,BUY,0.8102142857142857,147,205,"dummy_rule_ai: BUY (trend=1.00, adx=24.6, rsi=60.6, spread=17)","{""type"": ""features"", ""symbol"": ""XAUUSD"", ""time"": ""2026-04-30T12:57:59"", ""features"": {""symbol"": ""XAUUSD"", ""bid"": 4636.34, ""ask"": 4636.51, ""spread_points"": 17, ""balance"": 91.36, ""equity"": 91.36, ""free_margin"": 91.36, ""m1_ohlcv"": [[4631.21, 4633.7, 4631.1, 4632.76, 427], [4632.73, 4633.18, 4631.34, 4631.67, 453], [4631.67, 4631.8, 4629.32, 4629.87, 427], [4629.87, 4629.87, 4627.91, 4628.39, 495], [4628.39, 4631.01, 4628.39, 4629.26, 540], [4629.26, 4629.76, 4627.77, 4628.7, 395], [4628.69, 4628.94, 4625.58, 4625.81, 611], [4625.81, 4628.49, 4624.56, 4628.44, 516], [4628.44, 4631.27, 4628.44, 4631.21, 412], [4631.23, 4631.24, 4629.35, 4630.17, 566], [4630.17, 4631.53, 4628.72, 4628.96, 416], [4628.98, 4628.98, 4626.06, 4626.84, 628], [4626.84, 4627.6, 4625.84, 4626.12, 568], [4626.12, 4630.53, 4625.88, 4630.51, 405], [4630.51, 4634.66, 4629.55, 4633.03, 418], [4633.03, 4634.59, 4632.59, 4632.9, 550], [4632.9, 4635.53, 4632.9, 4635.19, 439], [4635.19, 4635.19, 4632.86, 4633.34, 411], [4633.36, 4637.11, 4633.21, 4636.73, 461], [4636.76, 4637.06, 4635.52, 4636.34, 462]], ""m1_ema9"": 4634.002149, ""m1_ema21"": 4632.212517, ""m1_ema50"": 4631.748808, ""m1_rsi14"": 60.57, ""m1_atr14"": 2.735714, ""m1_adx14"": 24.55, ""m1_plusdi"": 19.72, ""m1_minusdi"": 9.9, ""m5_ema20"": 4631.911045, ""m5_ema50"": 4625.970229, ""m5_rsi14"": 55.55, ""m5_atr14"": 6.873571, ""m5_adx14"": 18.39, ""m5_plusdi"": 15.23, ""m5_minusdi"": 10.99, ""hour_gmt"": 12, ""open_ea_trades"": 0, ""trades_today"": 0}}","{""signal"": ""BUY"", ""confidence"": 0.8102142857142857, ""sl_points"": 147, ""tp_points"": 205, ""reason"": ""dummy_rule_ai: BUY (trend=1.00, adx=24.6, rsi=60.6, spread=17)""}"
2026-04-30T12:58:59,XAUUSD,file,BUY,0.7923285714285715,147,205,"dummy_rule_ai: BUY (trend=1.00, adx=29.3, rsi=65.1, spread=8)","{""type"": ""features"", ""symbol"": ""XAUUSD"", ""time"": ""2026-04-30T12:58:59"", ""features"": {""symbol"": ""XAUUSD"", ""bid"": 4639.29, ""ask"": 4639.37, ""spread_points"": 8, ""balance"": 91.36, ""equity"": 91.36, ""free_margin"": 91.36, ""m1_ohlcv"": [[4632.73, 4633.18, 4631.34, 4631.67, 453], [4631.67, 4631.8, 4629.32, 4629.87, 427], [4629.87, 4629.87, 4627.91, 4628.39, 495], [4628.39, 4631.01, 4628.39, 4629.26, 540], [4629.26, 4629.76, 4627.77, 4628.7, 395], [4628.69, 4628.94, 4625.58, 4625.81, 611], [4625.81, 4628.49, 4624.56, 4628.44, 516], [4628.44, 4631.27, 4628.44, 4631.21, 412], [4631.23, 4631.24, 4629.35, 4630.17, 566], [4630.17, 4631.53, 4628.72, 4628.96, 416], [4628.98, 4628.98, 4626.06, 4626.84, 628], [4626.84, 4627.6, 4625.84, 4626.12, 568], [4626.12, 4630.53, 4625.88, 4630.51, 405], [4630.51, 4634.66, 4629.55, 4633.03, 418], [4633.03, 4634.59, 4632.59, 4632.9, 550], [4632.9, 4635.53, 4632.9, 4635.19, 439], [4635.19, 4635.19, 4632.86, 4633.34, 411], [4633.36, 4637.11, 4633.21, 4636.73, 461], [4636.76, 4637.06, 4635.52, 4636.34, 462], [4636.34, 4639.8, 4635.33, 4639.29, 472]], ""m1_ema9"": 4635.531719, ""m1_ema21"": 4633.099727, ""m1_ema50"": 4632.15569, ""m1_rsi14"": 65.14, ""m1_atr14"": 2.774286, ""m1_adx14"": 29.29, ""m1_plusdi"": 24.17, ""m1_minusdi"": 8.58, ""m5_ema20"": 4632.191997, ""m5_ema50"": 4626.085915, ""m5_rsi14"": 58.09, ""m5_atr14"": 7.065714, ""m5_adx14"": 19.62, ""m5_plusdi"": 18.48, ""m5_minusdi"": 10.99, ""hour_gmt"": 12, ""open_ea_trades"": 0, ""trades_today"": 0}}","{""signal"": ""BUY"", ""confidence"": 0.7923285714285715, ""sl_points"": 147, ""tp_points"": 205, ""reason"": ""dummy_rule_ai: BUY (trend=1.00, adx=29.3, rsi=65.1, spread=8)""}"
2026-04-30T12:59:59,XAUUSD,file,BUY,0.8187142857142857,146,204,"dummy_rule_ai: BUY (trend=1.00, adx=32.6, rsi=65.6, spread=17)","{""type"": ""features"", ""symbol"": ""XAUUSD"", ""time"": ""2026-04-30T12:59:59"", ""features"": {""symbol"": ""XAUUSD"", ""bid"": 4639.61, ""ask"": 4639.78, ""spread_points"": 17, ""balance"": 91.36, ""equity"": 91.36, ""free_margin"": 91.36, ""m1_ohlcv"": [[4631.67, 4631.8, 4629.32, 4629.87, 427], [4629.87, 4629.87, 4627.91, 4628.39, 495], [4628.39, 4631.01, 4628.39, 4629.26, 540], [4629.26, 4629.76, 4627.77, 4628.7, 395], [4628.69, 4628.94, 4625.58, 4625.81, 611], [4625.81, 4628.49, 4624.56, 4628.44, 516], [4628.44, 4631.27, 4628.44, 4631.21, 412], [4631.23, 4631.24, 4629.35, 4630.17, 566], [4630.17, 4631.53, 4628.72, 4628.96, 416], [4628.98, 4628.98, 4626.06, 4626.84, 628], [4626.84, 4627.6, 4625.84, 4626.12, 568], [4626.12, 4630.53, 4625.88, 4630.51, 405], [4630.51, 4634.66, 4629.55, 4633.03, 418], [4633.03, 4634.59, 4632.59, 4632.9, 550], [4632.9, 4635.53, 4632.9, 4635.19, 439], [4635.19, 4635.19, 4632.86, 4633.34, 411], [4633.36, 4637.11, 4633.21, 4636.73, 461], [4636.76, 4637.06, 4635.52, 4636.34, 462], [4636.34, 4639.8, 4635.33, 4639.29, 472], [4639.29, 4640.08, 4638.48, 4639.58, 358]], ""m1_ema9"": 4636.393775, ""m1_ema21"": 4633.715537, ""m1_ema50"": 4632.458943, ""m1_rsi14"": 65.61, ""m1_atr14"": 2.688571, ""m1_adx14"": 32.6, ""m1_plusdi"": 22.97, ""m1_minusdi"": 7.44, ""m5_ema20"": 4632.923462, ""m5_ema50"": 4626.627198, ""m5_rsi14"": 58.35, ""m5_atr14"": 6.565714, ""m5_adx14"": 20.52, ""m5_plusdi"": 16.19, ""m5_minusdi"": 9.53, ""hour_gmt"": 12, ""open_ea_trades"": 0, ""trades_today"": 0}}","{""signal"": ""BUY"", ""confidence"": 0.8187142857142857, ""sl_points"": 146, ""tp_points"": 204, ""reason"": ""dummy_rule_ai: BUY (trend=1.00, adx=32.6, rsi=65.6, spread=17)""}"
